image,xmin,ymin,xmax,ymax,label
ch1_20150914_130712_016_s55.png,1385,0,1399,162,Blesk
ch1_20150914_130712_016_s55.png,1349,0,1361,162,Blesk
ch1_20150914_130712_016_s55.png,1128,0,1139,162,Blesk
ch1_20150914_130712_016_s55.png,1109,0,1122,162,Blesk
ch1_20150914_130712_016_s55.png,882,0,892,162,Blesk
ch1_20150914_130712_016_s55.png,834,0,844,162,Blesk
ch1_20150914_130712_016_s55.png,721,0,730,162,Blesk
ch1_20150914_130712_016_s55.png,618,0,628,162,Blesk
ch1_20150914_130712_016_s55.png,57,0,67,162,Blesk
ch1_20150914_130712_016_s55.png,69,0,77,162,Blesk
ch1_20150914_130712_016_s55.png,158,0,167,162,Blesk
ch1_20150914_130712_016_s55.png,219,0,227,162,Blesk
ch1_20150914_130712_016_s55.png,601,0,611,162,Blesk
ch1_20150914_130712_016_s55.png,650,0,663,162,Blesk
ch1_20170714_160825_818_s90.png,1300,0,1309,162,Blesk
ch1_20170714_160825_818_s90.png,1391,0,1399,162,Blesk
ch1_20180615_195005_249_s19.png,195,0,203,162,Blesk
ch1_20180615_195005_249_s19.png,369,0,381,162,Blesk
ch1_20180615_195005_249_s19.png,449,0,462,162,Blesk
ch1_20180615_195005_249_s19.png,471,0,483,162,Blesk
ch1_20180615_195005_249_s19.png,536,0,546,162,Blesk
ch1_20180615_195005_249_s19.png,688,0,696,162,Blesk
ch1_20180615_195005_249_s19.png,711,0,728,162,Blesk
ch1_20180615_195005_249_s19.png,773,0,782,162,Blesk
ch1_20180615_195005_249_s19.png,930,0,941,162,Blesk s chvostíkom
ch1_20180615_195005_249_s19.png,1185,0,1197,162,Blesk
ch1_20180615_195005_249_s19.png,1272,0,1283,162,Blesk
ch1_20150914_130211_791_s3.png,213,0,225,162,Blesk
ch1_20150914_130211_791_s3.png,264,0,280,162,Blesk
ch1_20150914_130211_791_s3.png,24,0,34,162,Blesk
ch1_20150914_130211_791_s3.png,288,0,297,162,Blesk
ch1_20150914_130211_791_s3.png,299,0,310,162,Blesk
ch1_20150914_130211_791_s3.png,315,0,325,162,Blesk
ch1_20150914_130211_791_s3.png,348,0,360,162,Blesk
ch1_20150914_130211_791_s3.png,498,0,549,162,Blesk s chvostíkom
ch1_20150914_130211_791_s3.png,672,0,684,162,Blesk
ch1_20150914_130211_791_s3.png,825,0,837,162,Blesk
ch1_20150914_130211_791_s3.png,901,0,924,162,Blesk
ch1_20150914_130211_791_s3.png,994,0,1006,162,Blesk
ch1_20150914_130211_791_s3.png,1042,0,1055,162,Blesk
ch1_20150914_130211_791_s3.png,1251,0,1259,162,Blesk
ch1_20150914_130211_791_s3.png,1316,0,1329,162,Blesk
ch1_20150902_230432_765_s38.png,527,0,541,162,Blesk s chvostíkom
ch1_20150902_230432_765_s38.png,786,0,802,162,Blesk s chvostíkom
ch1_20150902_230432_765_s38.png,860,0,870,162,Blesk
ch1_20150902_230432_765_s38.png,891,0,904,162,Blesk
ch1_20150902_230432_765_s38.png,951,0,962,162,Blesk
ch1_20150902_230432_765_s38.png,1046,0,1055,162,Blesk
ch1_20150902_230432_765_s38.png,462,0,470,162,Blesk
ch1_20150902_230432_765_s38.png,1229,0,1237,162,Blesk
ch1_20170715_122418_144_s66.png,659,0,668,162,Blesk
ch1_20170702_170622_764_s72.png,732,0,741,162,Blesk s chvostíkom
ch1_20180629_163355_510_s44.png,67,0,78,162,Blesk
ch1_20180629_163355_510_s44.png,143,0,155,162,Blesk
ch1_20180629_163355_510_s44.png,155,0,162,162,Blesk
ch1_20180629_163355_510_s44.png,653,0,663,162,Blesk
ch1_20180629_163355_510_s44.png,369,0,375,162,Blesk
ch1_20180629_163355_510_s44.png,689,0,698,162,Blesk
ch1_20180629_163355_510_s44.png,759,0,771,162,Blesk
ch1_20180629_163355_510_s44.png,894,0,902,162,Blesk
ch1_20180629_163355_510_s44.png,873,0,881,162,Blesk
ch1_20180629_163355_510_s44.png,1075,0,1084,162,Blesk
ch1_20160802_155938_445_s31.png,167,0,175,162,Blesk
ch1_20160802_155938_445_s31.png,319,0,325,162,Blesk
ch1_20160802_155938_445_s31.png,205,0,212,162,Blesk
ch1_20160802_155938_445_s31.png,1195,0,1203,162,Blesk
ch1_20150902_232933_901_s85.png,150,0,175,162,Blesk s chvostíkom
ch1_20150902_232933_901_s85.png,64,0,73,162,Blesk
ch1_20150902_232933_901_s85.png,54,0,65,162,Blesk
ch1_20150902_232933_901_s85.png,204,0,226,162,Blesk
ch1_20150902_232933_901_s85.png,300,0,316,162,Blesk
ch1_20150902_232933_901_s85.png,390,0,405,162,Blesk
ch1_20150902_232933_901_s85.png,576,0,586,162,Blesk
ch1_20150902_232933_901_s85.png,725,0,734,162,Blesk
ch1_20150902_232933_901_s85.png,703,0,717,162,Blesk
ch1_20150902_232933_901_s85.png,784,0,807,162,Blesk s chvostíkom
ch1_20150902_232933_901_s85.png,827,0,837,162,Blesk
ch1_20150902_232933_901_s85.png,838,0,848,162,Blesk
ch1_20150902_232933_901_s85.png,849,0,860,162,Blesk
ch1_20150902_232933_901_s85.png,920,0,928,162,Blesk
ch1_20150902_232933_901_s85.png,1045,0,1054,162,Blesk
ch1_20150902_232933_901_s85.png,1053,0,1066,162,Blesk
ch1_20150902_232933_901_s85.png,1135,0,1152,162,Blesk
ch1_20150902_232933_901_s85.png,1066,0,1091,162,Blesk s chvostíkom
ch1_20150902_232933_901_s85.png,1152,0,1161,162,Blesk
ch1_20150915_190334_086_s77.png,261,0,281,162,Blesk
ch1_20150915_190334_086_s77.png,928,0,947,162,Blesk
ch1_20150915_190334_086_s77.png,1176,0,1199,162,Blesk
ch1_20150915_190334_086_s77.png,1274,0,1296,162,Blesk
ch1_20150915_190334_086_s77.png,1374,0,1390,162,Blesk
ch1_20150915_190334_086_s77.png,1327,0,1344,162,Blesk
ch1_20150915_190334_086_s77.png,1347,0,1363,162,Blesk
ch1_20170714_153824_509_s124.png,478,0,497,162,Blesk s chvostíkom
ch1_20170714_153824_509_s124.png,612,0,628,162,Blesk
ch1_20170714_153824_509_s124.png,826,0,843,162,Blesk
ch1_20170714_153824_509_s124.png,1099,0,1114,162,Blesk
