event,signal,date,second,milisecond,tweek signs,f_signs [kHz],f_min<2kHz
1,1,20160815_202845,81.pn,61,,,
1,2,20160815_202845,81.pn,127,,,
1,3,20160815_202845,81.pn,178,,,
1,4,20160815_202845,81.pn,289,,,
1,5,20160815_202845,81.pn,379,,,
1,6,20160815_202845,81.pn,620,,,
1,7,20160815_202845,81.pn,817,,,
1,8,20160815_202845,81.pn,932,,,
1,9,20160815_202845,81.pn,882,,,
2,1,20150915_193835,1.pn,415,,,
2,2,20150915_193835,1.pn,452,,,
2,3,20150915_193835,1.pn,464,,,
2,4,20150915_193835,1.pn,778,3,,
2,5,20150915_193835,1.pn,807,2,,
2,6,20150915_193835,1.pn,853,,,
2,7,20150915_193835,1.pn,967,,,
2,8,20150915_193835,1.pn,883,,,
2,9,20150915_193835,1.pn,608,,,
2,10,20150915_193835,1.pn,227,,,
3,1,20170730_171406,25.pn,929,,,
3,2,20170730_171406,25.pn,234,,,
3,3,20170730_171406,25.pn,286,,,
3,4,20170730_171406,25.pn,217,,,
3,5,20170730_171406,25.pn,474,2,,
4,1,20160814_150725,132.pn,13,,,
4,2,20160814_150725,132.pn,750,,,
5,1,20170702_164621,15.pn,139,,,
5,2,20170702_164621,15.pn,288,,,
5,3,20170702_164621,15.pn,376,,,
5,4,20170702_164621,15.pn,899,,,
6,1,20150915_192335,113.pn,135,,,
6,2,20150915_192335,113.pn,420,,,
6,3,20150915_192335,113.pn,448,,,
6,4,20150915_192335,113.pn,458,,,
7,1,20180615_200505,63.pn,490,,,
7,2,20180615_200505,63.pn,873,,,
7,3,20180615_200505,63.pn,649,3,,
7,4,20180615_200505,63.pn,303,,,
7,5,20180615_200505,63.pn,240,,,
7,6,20180615_200505,63.pn,567,,,
7,7,20180615_200505,63.pn,541,,,
7,8,20180615_200505,63.pn,726,,,
8,1,20150927_140134,90.pn,947,,,
8,2,20150927_140134,90.pn,877,,,
8,3,20150927_140134,90.pn,601,,,
8,4,20150927_140134,90.pn,592,,,
8,5,20150927_140134,90.pn,559,,,
8,6,20150927_140134,90.pn,574,,,
8,7,20150927_140134,90.pn,482,,,
8,8,20150927_140134,90.pn,476,,,
8,9,20150927_140134,90.pn,566,,,
9,1,20170702_170122,29.pn,964,,,
9,2,20170702_170122,29.pn,476,,,
9,3,20170702_170122,29.pn,752,,,
10,1,20160802_164940,43.pn,589,,,
10,2,20160802_164940,43.pn,700,,,
10,3,20160802_164940,43.pn,722,,,
10,4,20160802_164940,43.pn,232,,,
11,1,20150914_131212,143.pn,53,,,
11,2,20150914_131212,143.pn,24,,,
11,3,20150914_131212,143.pn,209,,,
11,4,20150914_131212,143.pn,337,,,
11,5,20150914_131212,143.pn,342,,,
11,6,20150914_131212,143.pn,359,,,
11,7,20150914_131212,143.pn,366,,,
11,8,20150914_131212,143.pn,482,,,
11,9,20150914_131212,143.pn,508,,,
11,10,20150914_131212,143.pn,530,,,
11,11,20150914_131212,143.pn,588,,,
11,12,20150914_131212,143.pn,624,,,
11,13,20150914_131212,143.pn,724,,,
11,14,20150914_131212,143.pn,773,,,
11,15,20150914_131212,143.pn,815,,,
11,16,20150914_131212,143.pn,890,,,
12,1,20180614_114846,19.pn,305,,,
12,2,20180614_114846,19.pn,253,,,
12,3,20180614_114846,19.pn,439,,,
12,4,20180614_114846,19.pn,220,,,
12,5,20180614_114846,19.pn,143,,,
12,6,20180614_114846,19.pn,116,,,
12,7,20180614_114846,19.pn,645,1,,
12,8,20180614_114846,19.pn,626,1,,
13,1,20150914_132712,141.pn,40,,,
13,2,20150914_132712,141.pn,81,,,
13,3,20150914_132712,141.pn,156,,,
13,4,20150914_132712,141.pn,104,,,
13,5,20150914_132712,141.pn,385,,,
13,6,20150914_132712,141.pn,115,,,
13,7,20150914_132712,141.pn,674,,,
13,8,20150914_132712,141.pn,828,,,
13,9,20150914_132712,141.pn,870,,,
13,10,20150914_132712,141.pn,910,,,
13,11,20150914_132712,141.pn,891,,,
14,1,20170702_163121,87.pn,502,,,
14,2,20170702_163121,87.pn,83,,,
14,3,20170702_163121,87.pn,565,,,
15,1,20150915_191834,130.pn,454,,,
15,2,20150915_191834,130.pn,352,,,
15,3,20150915_191834,130.pn,472,,,
15,4,20150915_191834,130.pn,368,,,
15,5,20150915_191834,130.pn,743,,,
15,6,20150915_191834,130.pn,957,,,
15,7,20150915_191834,130.pn,602,,,
15,8,20150915_191834,130.pn,692,2,,
16,1,20160802_160938,56.pn,517,,,
16,2,20160802_160938,56.pn,506,,,
16,3,20160802_160938,56.pn,422,,,
17,1,20170730_173407,9.pn,117,,,
17,2,20170730_173407,9.pn,131,,,
17,3,20170730_173407,9.pn,201,,,
17,4,20170730_173407,9.pn,243,,,
