event,signal,date,second,milisecond,tweek signs,f_signs [kHz],f_min<2kHz
1,1,20160815_202845,81,61,,,
1,2,20160815_202845,81,127,,,
1,3,20160815_202845,81,178,,,
1,4,20160815_202845,81,289,,,
1,5,20160815_202845,81,379,,,
1,6,20160815_202845,81,620,,,
1,7,20160815_202845,81,817,,,
1,8,20160815_202845,81,932,,,
1,9,20160815_202845,81,882,,,
2,1,20150915_193835,1,415,,,
2,2,20150915_193835,1,452,,,
2,3,20150915_193835,1,464,,,
2,4,20150915_193835,1,778,3,,
2,5,20150915_193835,1,807,2,,
2,6,20150915_193835,1,853,,,
2,7,20150915_193835,1,967,,,
2,8,20150915_193835,1,883,,,
2,9,20150915_193835,1,608,,,
2,10,20150915_193835,1,227,,,
3,1,20170730_171406,25,929,,,
3,2,20170730_171406,25,234,,,
3,3,20170730_171406,25,286,,,
3,4,20170730_171406,25,217,,,
3,5,20170730_171406,25,474,2,,
4,1,20160814_150725,132,13,,,
4,2,20160814_150725,132,750,,,
5,1,20170702_164621,15,139,,,
5,2,20170702_164621,15,288,,,
5,3,20170702_164621,15,376,,,
5,4,20170702_164621,15,899,,,
6,1,20150915_192335,113,135,,,
6,2,20150915_192335,113,420,,,
6,3,20150915_192335,113,448,,,
6,4,20150915_192335,113,458,,,
7,1,20180615_200505,63,490,,,
7,2,20180615_200505,63,873,,,
7,3,20180615_200505,63,649,3,,
7,4,20180615_200505,63,303,,,
7,5,20180615_200505,63,240,,,
7,6,20180615_200505,63,567,,,
7,7,20180615_200505,63,541,,,
7,8,20180615_200505,63,726,,,
8,1,20150927_140134,90,947,,,
8,2,20150927_140134,90,877,,,
8,3,20150927_140134,90,601,,,
8,4,20150927_140134,90,592,,,
8,5,20150927_140134,90,559,,,
8,6,20150927_140134,90,574,,,
8,7,20150927_140134,90,482,,,
8,8,20150927_140134,90,476,,,
8,9,20150927_140134,90,566,,,
9,1,20170702_170122,29,964,,,
9,2,20170702_170122,29,476,,,
9,3,20170702_170122,29,752,,,
10,1,20160802_164940,43,589,,,
10,2,20160802_164940,43,700,,,
10,3,20160802_164940,43,722,,,
10,4,20160802_164940,43,232,,,
11,1,20150914_131212,143,53,,,
11,2,20150914_131212,143,24,,,
11,3,20150914_131212,143,209,,,
11,4,20150914_131212,143,337,,,
11,5,20150914_131212,143,342,,,
11,6,20150914_131212,143,359,,,
11,7,20150914_131212,143,366,,,
11,8,20150914_131212,143,482,,,
11,9,20150914_131212,143,508,,,
11,10,20150914_131212,143,530,,,
11,11,20150914_131212,143,588,,,
11,12,20150914_131212,143,624,,,
11,13,20150914_131212,143,724,,,
11,14,20150914_131212,143,773,,,
11,15,20150914_131212,143,815,,,
11,16,20150914_131212,143,890,,,
12,1,20180614_114846,19,305,,,
12,2,20180614_114846,19,253,,,
12,3,20180614_114846,19,439,,,
12,4,20180614_114846,19,220,,,
12,5,20180614_114846,19,143,,,
12,6,20180614_114846,19,116,,,
12,7,20180614_114846,19,645,1,,
12,8,20180614_114846,19,626,1,,
13,1,20150914_132712,141,40,,,
13,2,20150914_132712,141,81,,,
13,3,20150914_132712,141,156,,,
13,4,20150914_132712,141,104,,,
13,5,20150914_132712,141,385,,,
13,6,20150914_132712,141,115,,,
13,7,20150914_132712,141,674,,,
13,8,20150914_132712,141,828,,,
13,9,20150914_132712,141,870,,,
13,10,20150914_132712,141,910,,,
13,11,20150914_132712,141,891,,,
14,1,20170702_163121,87,502,,,
14,2,20170702_163121,87,83,,,
14,3,20170702_163121,87,565,,,
15,1,20150915_191834,130,454,,,
15,2,20150915_191834,130,352,,,
15,3,20150915_191834,130,472,,,
15,4,20150915_191834,130,368,,,
15,5,20150915_191834,130,743,,,
15,6,20150915_191834,130,957,,,
15,7,20150915_191834,130,602,,,
15,8,20150915_191834,130,692,2,,
16,1,20160802_160938,56,517,,,
16,2,20160802_160938,56,506,,,
16,3,20160802_160938,56,422,,,
17,1,20170730_173407,9,117,,,
17,2,20170730_173407,9,131,,,
17,3,20170730_173407,9,201,,,
17,4,20170730_173407,9,243,,,
17,5,20170730_173407,9,353,,,
17,6,20170730_173407,9,364,,,
17,7,20170730_173407,9,379,,,
17,8,20170730_173407,9,422,1,,
17,9,20170730_173407,9,471,1,,
17,10,20170730_173407,9,491,1,,
17,11,20170730_173407,9,506,1,,
17,12,20170730_173407,9,533,2,,
17,13,20170730_173407,9,519,1,,
17,14,20170730_173407,9,583,4,,
17,15,20170730_173407,9,646,,,
18,1,20180602_205229,144,969,,,
18,2,20180602_205229,144,716,,,
18,3,20180602_205229,144,701,,,
18,4,20180602_205229,144,689,,,
18,5,20180602_205229,144,444,,,
18,6,20180602_205229,144,672,1,,
18,7,20180602_205229,144,784,,,
19,1,20150927_135634,86,37,,,
19,2,20150927_135634,86,432,,,
19,3,20150927_135634,86,70,,,
19,4,20150927_135634,86,405,,,
19,5,20150927_135634,86,534,,,
19,6,20150927_135634,86,607,,,
19,7,20150927_135634,86,735,,,
19,8,20150927_135634,86,840,,,
19,9,20150927_135634,86,759,,,
20,1,20150914_125711,112,609,,,
20,2,20150914_125711,112,625,,,
20,3,20150914_125711,112,346,,,
20,4,20150914_125711,112,796,,,
20,5,20150914_125711,112,336,,,
21,1,20170715_124418,28,188,,,
21,2,20170715_124418,28,158,,,
21,3,20170715_124418,28,100,,,
21,4,20170715_124418,28,92,,,
21,5,20170715_124418,28,588,,,
21,6,20170715_124418,28,875,,,
21,7,20170715_124418,28,905,,,
22,1,20150914_130211,75,65,,,
22,2,20150914_130211,75,148,,,
22,3,20150914_130211,75,215,,,
22,4,20150914_130211,75,186,,,
22,5,20150914_130211,75,175,,,
22,6,20150914_130211,75,344,,,
22,7,20150914_130211,75,400,,,
22,8,20150914_130211,75,586,,,
23,1,20160802_165440,59,77,,,
23,2,20160802_165440,59,100,,,
23,3,20160802_165440,59,149,,,
23,4,20160802_165440,59,196,,,
23,5,20160802_165440,59,628,,,
23,6,20160802_165440,59,645,,,
24,1,20170702_162621,8,899,,,
25,1,20160814_150225,96,445,,,
25,2,20160814_150225,96,791,,,
25,3,20160814_150225,96,891,,,
26,1,20160814_150725,26,135,,,
26,2,20160814_150725,26,54,,,
26,3,20160814_150725,26,928,,,
26,4,20160814_150725,26,197,,,
26,5,20160814_150725,26,190,,,
26,6,20160814_150725,26,939,,,
26,7,20160814_150725,26,119,,,
27,1,20180614_121847,123,292,,,
27,2,20180614_121847,123,606,,,
27,3,20180614_121847,123,728,,,
27,4,20180614_121847,123,642,,,
27,5,20180614_121847,123,764,,,
28,1,20150927_133132,78,935,,,
28,2,20150927_133132,78,137,,,
28,3,20150927_133132,78,184,,,
28,4,20150927_133132,78,881,,,
28,5,20150927_133132,78,860,,,
28,6,20150927_133132,78,167,1,,
28,7,20150927_133132,78,773,,,
28,8,20150927_133132,78,706,,,
29,1,20160814_152226,24,403,,,
29,2,20160814_152226,24,886,,,
29,3,20160814_152226,24,26,,,
29,4,20160814_152226,24,426,,,
30,1,20170715_125919,20,628,,,
30,2,20170715_125919,20,825,,,
30,3,20170715_125919,20,950,,,
30,4,20170715_125919,20,970,,,
31,1,20180629_162355,111,158,,,
31,2,20180629_162355,111,431,,,
32,1,20170715_124418,1,742,,,
32,2,20170715_124418,1,239,,,
32,3,20170715_124418,1,194,,,
33,1,20150914_131212,104,7,,,
33,2,20150914_131212,104,72,,,
33,3,20150914_131212,104,139,,,
33,4,20150914_131212,104,189,,,
33,5,20150914_131212,104,199,,,
33,6,20150914_131212,104,351,,,
33,7,20150914_131212,104,318,,,
33,8,20150914_131212,104,426,,,
33,9,20150914_131212,104,625,,,
33,10,20150914_131212,104,644,,,
33,11,20150914_131212,104,683,,,
33,12,20150914_131212,104,963,1,,
33,13,20150914_131212,104,1074,1,,
33,14,20150914_131212,104,1079,1,,
33,15,20150914_131212,104,995,1,,
33,16,20150914_131212,104,925,,,
33,17,20150914_131212,104,448,,,
34,1,20150902_233934,79,38,,,
34,2,20150902_233934,79,184,3,,
34,3,20150902_233934,79,217,3,,
34,4,20150902_233934,79,442,4,,
34,5,20150902_233934,79,229,2,,
34,6,20150902_233934,79,240,,,
34,7,20150902_233934,79,247,,,
34,8,20150902_233934,79,900,2,,
35,1,20160814_151726,70,77,,,
36,1,20180602_210729,87,71,2,,
36,2,20180602_210729,87,307,2,,
36,3,20180602_210729,87,417,2,,
36,4,20180602_210729,87,675,,,
36,5,20180602_210729,87,600,,,
36,6,20180602_210729,87,754,,,
37,1,20180615_204007,35,273,2,,
37,2,20180615_204007,35,78,,,
37,3,20180615_204007,35,849,,,
37,4,20180615_204007,35,881,,,
37,5,20180615_204007,35,499,2,,
37,6,20180615_204007,35,521,2,,
37,7,20180615_204007,35,574,,,
37,8,20180615_204007,35,635,,,
37,9,20180615_204007,35,466,2,,
37,10,20180615_204007,35,446,,,
37,11,20180615_204007,35,619,,,
38,1,20160830_191000,50,570,4,,
38,2,20160830_191000,50,188,,,
38,3,20160830_191000,50,204,,,
38,4,20160830_191000,50,212,,,
38,5,20160830_191000,50,427,,,
38,6,20160830_191000,50,434,,,
38,7,20160830_191000,50,443,,,
38,8,20160830_191000,50,452,,,
38,9,20160830_191000,50,500,,,
38,10,20160830_191000,50,508,,,
38,11,20160830_191000,50,524,,,
38,12,20160830_191000,50,534,,,
38,13,20160830_191000,50,480,,,
38,14,20160830_191000,50,598,,,
38,15,20160830_191000,50,550,,,
38,16,20160830_191000,50,651,,,
38,17,20160830_191000,50,667,,,
38,18,20160830_191000,50,706,,,
38,19,20160830_191000,50,721,,,
38,20,20160830_191000,50,738,,,
38,21,20160830_191000,50,790,,,
38,22,20160830_191000,50,797,,,
38,23,20160830_191000,50,847,,,
38,24,20160830_191000,50,865,,,
38,25,20160830_191000,50,873,,,
38,26,20160830_191000,50,927,,,
38,27,20160830_191000,50,388,1,,
38,28,20160830_191000,50,471,2,,
39,1,20170730_165406,13,183,,,
39,2,20170730_165406,13,520,,,
39,3,20170730_165406,13,590,,,
39,4,20170730_165406,13,610,,,
39,5,20170730_165406,13,617,,,
39,6,20170730_165406,13,710,,,
39,7,20170730_165406,13,721,3,,
39,8,20170730_165406,13,759,2,,
39,9,20170730_165406,13,801,3,,
39,10,20170730_165406,13,835,3,,
39,11,20170730_165406,13,904,,,
40,1,20180614_121347,88,262,1,,
40,2,20180614_121347,88,320,1,,
40,3,20180614_121347,88,486,,,
40,4,20180614_121347,88,923,,,
40,5,20180614_121347,88,400,,,
41,1,20180602_204228,124,816,,,
41,2,20180602_204228,124,629,,,
41,3,20180602_204228,124,304,,,
41,4,20180602_204228,124,796,,,
41,5,20180602_204228,124,277,,,
41,6,20180602_204228,124,648,3,,
41,7,20180602_204228,124,641,,,
41,8,20180602_204228,124,297,,,
42,1,20150914_132212,119,6,,,
42,2,20150914_132212,119,14,,,
42,3,20150914_132212,119,295,2,,
42,4,20150914_132212,119,329,,,
42,5,20150914_132212,119,483,,,
42,6,20150914_132212,119,499,,,
42,7,20150914_132212,119,539,,,
42,8,20150914_132212,119,577,,,
42,9,20150914_132212,119,589,,,
42,10,20150914_132212,119,631,,,
42,11,20150914_132212,119,638,,,
42,12,20150914_132212,119,697,,,
42,13,20150914_132212,119,830,,,
42,14,20150914_132212,119,713,,,
42,15,20150914_132212,119,139,,,
43,1,20150914_131212,22,951,,,
43,2,20150914_131212,22,979,,,
43,3,20150914_131212,22,905,,,
43,4,20150914_131212,22,864,,,
43,5,20150914_131212,22,869,,,
43,6,20150914_131212,22,751,,,
43,7,20150914_131212,22,551,,,
43,8,20150914_131212,22,639,,,
43,9,20150914_131212,22,578,,,
43,10,20150914_131212,22,371,,,
43,11,20150914_131212,22,120,,,
43,12,20150914_131212,22,253,,,
43,13,20150914_131212,22,259,,,
43,14,20150914_131212,22,15,,,
43,15,20150914_131212,22,346,,,
43,16,20150914_131212,22,420,,,
43,17,20150914_131212,22,409,,,
43,18,20150914_131212,22,442,,,
43,19,20150914_131212,22,478,,,
43,20,20150914_131212,22,598,,,
44,1,20150914_125211,140,877,,,
44,2,20150914_125211,140,817,,,
44,3,20150914_125211,140,602,,,
44,4,20150914_125211,140,774,,,
44,5,20150914_125211,140,996,,,
44,6,20150914_125211,140,553,,,
44,7,20150914_125211,140,540,,,
44,8,20150914_125211,140,533,,,
44,9,20150914_125211,140,50,,,
44,10,20150914_125211,140,338,,,
44,11,20150914_125211,140,270,,,
44,12,20150914_125211,140,720,,,
44,13,20150914_125211,140,14,,,
45,1,20170702_164121,9,836,,,
45,2,20170702_164121,9,912,,,
45,3,20170702_164121,9,797,,,
46,1,20150902_235435,121,18,4,,
46,2,20150902_235435,121,46,3,,
46,3,20150902_235435,121,78,2,,
46,4,20150902_235435,121,92,,,
46,5,20150902_235435,121,100,,,
46,6,20150902_235435,121,109,,,
46,7,20150902_235435,121,117,,,
46,8,20150902_235435,121,145,,,
46,9,20150902_235435,121,252,,,
46,10,20150902_235435,121,269,4,,
46,11,20150902_235435,121,491,,,
46,12,20150902_235435,121,506,,,
46,13,20150902_235435,121,551,,,
46,14,20150902_235435,121,596,,,
46,15,20150902_235435,121,652,,,
46,16,20150902_235435,121,661,,,
46,17,20150902_235435,121,338,,,
46,18,20150902_235435,121,381,,,
47,1,20160802_162939,60,15,,,
48,1,20180602_210229,105,317,3,,
48,2,20180602_210229,105,419,2,,
48,3,20180602_210229,105,376,1,,
48,4,20180602_210229,105,511,,,
48,5,20180602_210229,105,647,,,
48,6,20180602_210229,105,538,,,
48,7,20180602_210229,105,596,,,
48,8,20180602_210229,105,566,,,
48,9,20180602_210229,105,806,,,
48,10,20180602_210229,105,922,,,
49,1,20170714_153824,106,503,,,
49,2,20170714_153824,106,517,,,
49,3,20170714_153824,106,590,,,
49,4,20170714_153824,106,692,,,
49,5,20170714_153824,106,652,1,,
49,6,20170714_153824,106,568,1,,
50,1,20150915_190334,90,300,,,
50,2,20150915_190334,90,462,,,
50,3,20150915_190334,90,47,,,
50,4,20150915_190334,90,353,,,
50,5,20150915_190334,90,517,,,
50,6,20150915_190334,90,525,,,
50,7,20150915_190334,90,687,,,
50,8,20150915_190334,90,793,,,
50,9,20150915_190334,90,745,,,
50,10,20150915_190334,90,837,,,
50,11,20150915_190334,90,855,,,
50,12,20150915_190334,90,864,,,
50,13,20150915_190334,90,993,,,
50,14,20150915_190334,90,63,,,
50,15,20150915_190334,90,20,,,
50,16,20150915_190334,90,916,,,
50,17,20150915_190334,90,878,,,
51,1,20150914_130712,55,980,,,
51,2,20150914_130712,55,954,,,
51,3,20150914_130712,55,798,,,
51,4,20150914_130712,55,785,,,
