image,event,date,second,milisecond,tweek,f_min<2kHz,confidence
1,1,20150902_230932,93,128,0,1,0.472
1,2,20150902_230932,93,128,1,1,0.386
1,3,20150902_230932,93,271,0,0,0.662
1,4,20150902_230932,93,350,0,1,0.603
1,5,20150902_230932,93,458,0,0,0.313
1,6,20150902_230932,93,690,0,0,0.656
1,7,20150902_230932,93,743,0,0,0.606
1,8,20150902_230932,93,752,0,1,0.354
1,9,20150902_230932,93,752,1,1,0.532
1,10,20150902_230932,93,775,0,1,0.46
1,11,20150902_230932,93,775,1,1,0.625
1,12,20150902_230932,93,797,0,0,0.623
1,13,20150902_230932,93,909,0,1,0.356
1,14,20150902_230932,93,909,1,1,0.497
1,15,20150902_230932,93,985,0,0,0.566
2,1,20150902_231433,109,156,0,1,0.309
2,2,20150902_231433,109,220,0,0,0.701
2,3,20150902_231433,109,387,0,0,0.597
2,4,20150902_231433,109,429,0,1,0.481
2,5,20150902_231433,109,503,0,1,0.672
2,6,20150902_231433,109,529,0,1,0.401
2,7,20150902_231433,109,529,1,1,0.506
2,8,20150902_231433,109,543,0,0,0.31
2,9,20150902_231433,109,543,1,0,0.57
2,10,20150902_231433,109,575,0,0,0.646
2,11,20150902_231433,109,595,0,0,0.511
2,12,20150902_231433,109,612,0,1,0.327
2,13,20150902_231433,109,619,0,0,0.515
2,14,20150902_231433,109,626,0,0,0.519
2,15,20150902_231433,109,841,0,0,0.483
2,16,20150902_231433,109,849,0,1,0.597
2,17,20150902_231433,109,871,0,0,0.58
2,18,20150902_231433,109,904,0,1,0.637
2,19,20150902_231433,109,965,0,1,0.535
3,1,20150902_231433,44,241,0,0,0.319
3,2,20150902_231433,44,283,0,0,0.404
3,3,20150902_231433,44,543,0,0,0.676
3,4,20150902_231433,44,672,0,0,0.7
3,5,20150902_231433,44,716,0,1,0.397
3,6,20150902_231433,44,716,1,1,0.611
3,7,20150902_231433,44,738,0,1,0.467
3,8,20150902_231433,44,747,0,1,0.327
3,9,20150902_231433,44,869,0,1,0.43
3,10,20150902_231433,44,969,0,0,0.577
4,1,20150902_231433,47,46,0,1,0.691
